argument_id,attorney_name,firm,side,role,source
2013-0670,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0670,David M. Hendricks,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0840,Heather A. Cherniske,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0840,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0197,Brian D. Kenyon,Marshall Law Office,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0197,Lissa D. Mascio,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0082,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0082,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0283,Justin C. Shepherd,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0283,Patrick E. Donovan,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0893,Robert H. Miller,"Sheehan, Phinney, Bass & Green, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0893,Barton L. Mayer,"Upton & Hatfield, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0893,Spencer Bennett,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0025,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0025,Robert J. Moses,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0200,Lisa L. Wolford,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0200,Christopher M. Johnson,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0203,Peter G. McGrath,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0203,Laura A. Spector-Morgan,"Mitchell Municipal Group, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0285,"Gordon A. Rehnborg, Jr.",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
