source_file_key,source_type,docket_numbers,source_url,match_method,confidence,review_status
2000-680,opinion,"[""2000-680""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002109dowdle.pdf,source_case_number_and_caption,high,generated
2001-409,opinion,"[""2001-409""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002111reitenour.pdf,source_case_number_and_caption,high,generated
2001-364,opinion,"[""2001-364""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002110sczcerbiak.pdf,source_case_number_and_caption,high,generated
2001-453,opinion,"[""2001-453""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002112pennelli.pdf,source_case_number_and_caption,high,generated
2001-219,opinion,"[""2001-219""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002106heartz.pdf,source_case_number_and_caption,high,generated
2001-362,opinion,"[""2001-362""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002108damelio.pdf,source_case_number_and_caption,high,generated
2000-779,opinion,"[""2000-779""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002105cna.pdf,source_case_number_and_caption,high,generated
2001-325,opinion,"[""2001-325""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002107groff.pdf,source_case_number_and_caption,high,generated
2000-444,opinion,"[""2000-444""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002101mitchell.pdf,source_case_number_and_caption,high,generated
2001-495,opinion,"[""2001-495""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002103boyle.pdf,source_case_number_and_caption,high,generated
2001-461,opinion,"[""2001-461""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002102jonathan.pdf,source_case_number_and_caption,high,generated
2001-718,opinion,"[""2001-718""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002104guglielmo.pdf,source_case_number_and_caption,high,generated
2000-657,opinion,"[""2000-657""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002100newman.pdf,source_case_number_and_caption,high,generated
2001-681,opinion,"[""2001-681""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002098martineau.pdf,source_case_number_and_caption,high,generated
2001-029,opinion,"[""2001-029""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002096mcburney.pdf,source_case_number_and_caption,high,generated
2000-425,opinion,"[""2000-425""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002095shelby.pdf,source_case_number_and_caption,high,generated
2001-154,opinion,"[""2001-154""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002097enderson.pdf,source_case_number_and_caption,high,generated
2000-630,opinion,"[""2000-630""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002092crowe.pdf,source_case_number_and_caption,high,generated
