argument_id,disposition_id,disposition_type,link_method,link_confidence,is_final_disposition
2016-0505,2016-0505,3jx_order,docket_match,high,True
2016-0543,2016-0543,case_order,docket_match,high,True
2016-0635,2016-0635,3jx_order,docket_match,high,True
2016-0657,2016-0657,case_order,docket_match,high,True
2016-0191,2016-0191,case_order,docket_match,high,True
2016-0535,2016-0535,opinion,docket_match,high,True
2016-0354,2016-0354,opinion,docket_match,high,True
2016-0569,2016-0569,case_order,docket_match,high,True
2016-0592,2016-0592,opinion,docket_match,high,True
2016-0649,2016-0649,case_order,docket_match,high,True
2016-0585,2016-0585,3jx_order,docket_match,high,True
2016-0563,2016-0563,3jx_order,docket_match,high,True
2016-0567,2016-0567,opinion,docket_match,high,True
2016-0582,2016-0582,case_order,docket_match,high,True
2016-0687,2016-0687,case_order,docket_match,high,True
2016-0544,,opinion,docket_match,review,True
2016-0639,2016-0639,opinion,docket_match,high,True
2016-0655,2016-0655,case_order,docket_match,high,True
2016-0667,2016-0667,opinion,docket_match,high,True
2017-0007,2017-0007,opinion,docket_match,high,True
2016-0426,2016-0426,opinion,docket_match,high,True
2016-0573,2016-0573,opinion,docket_match,high,True
2016-0668,,opinion,docket_match,review,True
2016-0679,2016-0679,case_order,docket_match,high,True
2016-0118,2016-0118,opinion,docket_match,high,True
2016-0583,2016-0583,case_order,docket_match,high,True
2017-0137,,opinion,docket_match,review,True
2016-0382,2016-0382,3jx_order,docket_match,high,True
2016-0478,2018027silva,opinion,docket_match,high,True
2016-0530,2016-0530,opinion,docket_match,high,True
2016-0594,2016-0594,3jx_order,docket_match,high,True
2016-0627,2016-0627,3jx_order,docket_match,high,True
2012-0663,2012-0663,3jx_order,docket_match,high,True
2016-0621,2016-0621,3jx_order,docket_match,high,True
2017-0050,2017-0050,3jx_order,docket_match,high,True
2016-0441,2016-0441,opinion,docket_match,high,True
2017-0115,2018017sea,opinion,docket_match,high,True
2016-0518,2016-0518,opinion,docket_match,high,True
2016-0546,2016-0546,opinion,docket_match,high,True
2016-0692,2016-0692,opinion,docket_match,high,True
2016-0694,2016-0694,case_order,docket_match,high,True
2017-0003,2017-0003,case_order,docket_match,high,True
2017-0110,2017-0110,opinion,docket_match,high,True
2017-0142,2017-0142,opinion,docket_match,high,True
2017-0159,2017-0159,opinion,docket_match,high,True
2017-0030,2017-0030,opinion,docket_match,high,True
2017-0056,2017-0056,case_order,docket_match,high,True
2017-0294,2017-0294,3jx_order,docket_match,high,True
2017-0035,2017-0035,opinion,docket_match,high,True
2017-0143,2017-0143,opinion,docket_match,high,True
2017-0187,2017-0187,opinion,docket_match,high,True
2017-0225,2017-0225,opinion,docket_match,high,True
2017-0008,2017-0008,opinion,docket_match,high,True
2017-0080,2017-0080,opinion,docket_match,high,True
2017-0313,2017-0313,opinion,docket_match,high,True
2017-0372,2017-0372,case_order,docket_match,high,True
2017-0409,2017-0409,opinion,docket_match,high,True
2016-0233,2016-0233,3jx_order,docket_match,high,True
2017-0053,2017-0053,case_order,docket_match,high,True
2017-0116,2017-0116,opinion,docket_match,high,True
2017-0371,2017-0371,opinion,docket_match,high,True
2016-0654,2016-0654,case_order,docket_match,high,True
2017-0066,2017-0066,opinion,docket_match,high,True
2017-0120,2017-0120,case_order,docket_match,high,True
2017-0151,2017-0151,opinion,docket_match,high,True
2016-0363,2016-0363,opinion,docket_match,high,True
2017-0104,2017-0104,opinion,docket_match,high,True
2017-0277,2017-0277,case_order,docket_match,high,True
2017-0153,2017-0153,opinion,docket_match,high,True
2017-0170,2017-0170,opinion,docket_match,high,True
2017-0257,2017-0257,case_order,docket_match,high,True
2017-0246,2017-0246,opinion,docket_match,high,True
2017-0261,2017-0261,case_order,docket_match,high,True
2017-0532,2017-0532,opinion,docket_match,high,True
2017-0073,2017-0073,case_order,docket_match,high,True
2017-0346,2017-0346,opinion,docket_match,high,True
2017-0429,2017-0429,opinion,docket_match,high,True
2017-0059,2017-0059,3jx_order,docket_match,high,True
2017-0321,2017-0321,3jx_order,docket_match,high,True
2017-0198,2017-0198,opinion,docket_match,high,True
2017-0318,2017-0318,opinion,docket_match,high,True
2017-0362,2017-0362,opinion,docket_match,high,True
2017-0451,2017-0451,case_order,docket_match,high,True
2017-0519,2017-0519,case_order,docket_match,high,True
2017-0381,2017-0381,opinion,docket_match,high,True
2017-0385,2017-0385,opinion,docket_match,high,True
2017-0412,2017-0412,case_order,docket_match,high,True
2017-0422,2017-0422,opinion,docket_match,high,True
2017-0449,2017-0449,opinion,docket_match,high,True
2017-0338,2017-0338,3jx_order,docket_match,high,True
2017-0410,2017-0410,3jx_order,docket_match,high,True
2017-0515,2017-0515,opinion,docket_match,high,True
2016-0568,2016-0568,3jx_order,docket_match,high,True
2017-0458,2017-0458,3jx_order,docket_match,high,True
2017-0464,2017-0464,3jx_order,docket_match,high,True
2017-0472,2017-0472,opinion,docket_match,high,True
2017-0514,2017-0514,opinion,docket_match,high,True
2017-0535,2017-0535,case_order,docket_match,high,True
2017-0536,2017-0536,opinion,docket_match,high,True
2017-0548,2017-0548,opinion,docket_match,high,True
2017-0280,2017-0280,opinion,docket_match,high,True
2017-0295,2017-0295,opinion,docket_match,high,True
2017-0378,2017-0378,case_order,docket_match,high,True
2017-0518,2017-0518,opinion,docket_match,high,True
2017-0675,2017-0675,case_order,docket_match,high,True
2017-0048,2017-0048,case_order,docket_match,high,True
2017-0328,2017-0328,3jx_order,docket_match,high,True
2017-0403,2017-0403,opinion,docket_match,high,True
2017-0469,2017-0469,opinion,docket_match,high,True
